photo_name	value	location
id_53_value_595_825.jpg	595.825	{'type': 'polygon', 'data': [{'x': 0.30788, 'y': 0.30207}, {'x': 0.30676, 'y': 0.32731}, {'x': 0.53501, 'y': 0.33068}, {'x': 0.53445, 'y': 0.33699}, {'x': 0.56529, 'y': 0.33741}, {'x': 0.56697, 'y': 0.29786}, {'x': 0.53501, 'y': 0.29786}, {'x': 0.53445, 'y': 0.30417}]}
id_553_value_65_475.jpg	65.475	{'type': 'polygon', 'data': [{'x': 0.26133, 'y': 0.24071}, {'x': 0.31405, 'y': 0.23473}, {'x': 0.31741, 'y': 0.26688}, {'x': 0.30676, 'y': 0.26763}, {'x': 0.33985, 'y': 0.60851}, {'x': 0.29386, 'y': 0.61449}]}
id_407_value_21_86.jpg	21.86	{'type': 'polygon', 'data': [{'x': 0.27545, 'y': 0.19134}, {'x': 0.37483, 'y': 0.18282}, {'x': 0.38935, 'y': 0.76071}, {'x': 0.28185, 'y': 0.76613}]}
id_252_value_313_322.jpg	313.322	{'type': 'polygon', 'data': [{'x': 0.21967, 'y': 0.50845}, {'x': 0.70811, 'y': 0.53256}, {'x': 0.70008, 'y': 0.61295}, {'x': 0.21699, 'y': 0.58883}]}
id_851_value_305_162.jpg	305.162	{'type': 'polygon', 'data': [{'x': 0.06983, 'y': 0.43491}, {'x': 0.34763, 'y': 0.42285}, {'x': 0.34663, 'y': 0.41795}, {'x': 0.36622, 'y': 0.41607}, {'x': 0.37125, 'y': 0.4628}, {'x': 0.34964, 'y': 0.46506}, {'x': 0.34814, 'y': 0.45941}, {'x': 0.07234, 'y': 0.46996}]}
id_398_value_8_898.jpg	8.898	{'type': 'polygon', 'data': [{'x': 0.60781, 'y': 0.22024}, {'x': 0.53513, 'y': 0.2352}, {'x': 0.64914, 'y': 0.59389}, {'x': 0.63061, 'y': 0.59656}, {'x': 0.63987, 'y': 0.62863}, {'x': 0.73464, 'y': 0.61473}]}
id_1204_value_78_677.jpg	78.677	{'type': 'polygon', 'data': [{'x': 0.26854, 'y': 0.38812}, {'x': 0.56977, 'y': 0.33109}, {'x': 0.57225, 'y': 0.41451}, {'x': 0.27392, 'y': 0.47409}]}
id_83_value_1336_114.jpg	1336.114	{'type': 'polygon', 'data': [{'x': 0.31447, 'y': 0.32593}, {'x': 0.66494, 'y': 0.39981}, {'x': 0.67032, 'y': 0.39515}, {'x': 0.68645, 'y': 0.39826}, {'x': 0.66701, 'y': 0.45227}, {'x': 0.64839, 'y': 0.44823}, {'x': 0.6517, 'y': 0.43923}, {'x': 0.30082, 'y': 0.36411}]}
id_1061_value_572_883.jpg	572.883	{'type': 'polygon', 'data': [{'x': 0.14358, 'y': 0.36504}, {'x': 0.68687, 'y': 0.35852}, {'x': 0.68645, 'y': 0.43085}, {'x': 0.64301, 'y': 0.43178}, {'x': 0.64259, 'y': 0.41688}, {'x': 0.14648, 'y': 0.42402}]}
id_71_value_90_216.jpg	90.216	{'type': 'polygon', 'data': [{'x': 0.30247, 'y': 0.43116}, {'x': 0.61239, 'y': 0.43644}, {'x': 0.61073, 'y': 0.48517}, {'x': 0.58342, 'y': 0.48455}, {'x': 0.5826, 'y': 0.47369}, {'x': 0.29957, 'y': 0.46934}]}
id_924_value_625_593.jpg	625.593	{'type': 'polygon', 'data': [{'x': 0.2895, 'y': 0.32401}, {'x': 0.68634, 'y': 0.31644}, {'x': 0.68686, 'y': 0.33295}, {'x': 0.71059, 'y': 0.33226}, {'x': 0.71472, 'y': 0.20638}, {'x': 0.69305, 'y': 0.20707}, {'x': 0.69202, 'y': 0.22839}, {'x': 0.28383, 'y': 0.23321}]}
